Program Name,Duration (Years),No of Regular Semesters,Credit Hour Fee,Total Cr. Hrs.,Total Program Fee,*Semester Fee,Total Semester Fee,*1st Smstr Cr Hrs

*Tuition Fee,Registration/Exam& Activity Fee
Undergraduate Programmes
1,BS Sociology - Main Block,4,8,1350,129,248150,16200,7500,23700,12
2,BS Sociology - Girls Block (Only for Females),4,8,1350,129,248150,16200,7500,23700,12
3,BS Education - Girls Block (Only for Females),4,8,1350,129,248150,16200,7500,23700,12
4,BS Business Economics,4,8,2200,126,351200,26400,7500,33900,12
5,BDes (Hons.) Graphic Design,4,8,5600,129,796400,67200,7500,74700,12
6,BS Data Science,4,8,6340,130,898200,101440,7500,108940,16
7,BS Mathematics,4,8,3925,129,580325,62800,7500,70300,16
8,BS Electrical Engineering,4,8,2850,134,455900,51300,7500,58800,18
9,Advanced Diploma in Clinical Psychology,1,2,4900,25,151500,58800,7500,66300,12
10,BDes (Hons.) Textile and Fashion,4,8,6600,129,925400,79200,7500,86700,12
11,BS Accounting and Finance,4,8,5165,129,740285,61980,7500,69480,12
12,BS Business Administration,4,8,6520,126,895520,78240,7500,85740,12
13,BS Computer Science,4,8,7100,130,997000,113600,7500,121100,16
14,BS Software Engineering,4,8,7100,130,997000,120700,7500,128200,17
15,BS English,4,8,3800,129,564200,45600,7500,53100,12
16,BS Home Economics  (Food and Nutrition) - Girls Block (Only for Females),4,8,4500,130,659000,54000,7500,61500,12
17,BS Mass Communication and Media Studies,4,8,3665,132,557780,54975,7500,62475,15
18,BS Clinical Psychology - Girls Block ( Only for Females),4,8,5050,129,725450,60600,7500,68100,12
19,BS Psychology - Main Block,4,8,3500,129,525500,42000,7500,49500,12
20,BS Education - Main-Block,4,8,1350,129,248150,16200,7500,23700,12
21,BS Political Science,4,8,1350,130,249500,16200,7500,23700,12
22,BS International Relations,4,8,2950,130,457500,35400,7500,42900,12
23,BS Psychology - Girls Block (Only for Females),4,8,3500,129,525500,42000,7500,49500,12
24,BS Islamic Studies,4,8,2500,129,396500,30000,7500,37500,12
25,BS Home Economics (Interior Design)- Girls Block (Only for Females),4,8,4500,129,654500,54000,7500,61500,12
26,BCom (Hons.),4,8,4740,129,685460,56880,7500,64380,12
27,BS Clinical Psychology - Main Block,4,8,5050,129,725450,60600,7500,68100,12
Graduate and Post Graduate Programmes
28,MBA (For Business Graduates),1.5,3,9250,30,314000,111000,7500,118500,12
29,MBA (For Non-Business Graduates),2,4,9250,60,599000,138750,7500,146250,15
30,MA English Language and Literature,2,4,3120,69,259280,46800,7500,54300,15
31,M.Com,2,4,4400,70,352000,66000,7500,73500,15
32,MPhil Economics,2,4,10900,30,363500,98100,7500,105600,9
33,MPhil Management Sciences,2,4,11900,30,393500,107100,7500,114600,9
34,MS Computer Science,2,4,11900,30,393500,107100,7500,114600,9
35,MSc Accounting and Finance,2,4,4400,70,352000,66000,7500,73500,15
36,MA Mass Communication and Media Studies,2,4,3570,66,279620,53550,7500,61050,15
37,MSc Home Economics - Food and Nutrition - Girls Block (Only for Females),2,4,4500,66,341000,54000,7500,61500,12
38,MSc Home Economics - Interior Design - Girls Block (Only for Females),2,4,4500,69,354500,54000,7500,61500,12
