
Department of Animal Sciences,MSc (Hons)  Animal Nutrition,4,-,37700,-,27200
Department of Animal Sciences,BSc (Hons) Animal Sciences,8,22950,31550,15950,23050
Institute of Food Science & Nutrition,B.Sc. (Hons). Food Science and Technology,8,26100,30250,19100,21750
Institute of Food Science & Nutrition,MSc (Hons) Food Science and Technology,4,-,37700,-,27200
Institute of Food Science & Nutrition,PhD Food and Nutrition,6,-,43700,-,27200
Institute of Food Science & Nutrition,MSc (Hons) Food and Nutrition,4,-,37700,-,27200
Institute of Food Science & Nutrition,26100,30250,19100,21750
Institute of Food Science & Nutrition,PhD Food Science and Technology,6,-,43700,-,27200
Department of Agricultural Extension,MSc (Hons) Agricultural Extension,4,-,37700,-,27200
Department of Agricultural Extension,BSc (Hons) Agriculture (Agricultural Extension),8,22950,31550,15950,23050
Department of Agricultural Extension,PhD Agricultural Extension,6,-,43700,-,27200
Department of Entomology,MSc (Hons) Entomology,4,-,37700,-,27200
Department of Entomology,BSc (Hons) Agriculture (Entomology),8,22950,31550,15950,23050
Department of Entomology,PhD Entomology,6,-,43700,-,27200
Department of Agronomy,PhD Agronomy,6,-,43700,-,27200
Department of Agronomy,BSc (Hons) Agriculture  (Agronomy),8,22950,31550,15950,23050
Department of Agronomy,MSc (Hons) Agronomy,4,-,37700,-,27200
Department of Horticulture,BSc (Hons) Agriculture (Horticulture),8,22950,31550,15950,23050
Department of Horticulture,MSc (Hons) Horticulture,4,-,37700,-,27200
Department of Plant Breeding and Genetics,BSc (Hons) Agriculture (Plant Breeding and Genetics),8,22950,31550,15950,23050
Department of Plant Breeding and Genetics,MSc (Hons) Plant Breeding and Genetics,4,-,37700,-,27200
Department of Plant Breeding and Genetics,PhD Plant Breeding and Genetics,6,-,43700,-,27200
Department of Plant Pathology,BSc (Hons) Agriculture (Plant Pathology),8,22950,31550,15950,23050
Department of Plant Pathology,MSc (Hons) Plant Pathology,4,-,37700,-,27200
Department of Plant Pathology,PhD Plant Pathology,6,-,43700,-,27200
Department of Soil and Environmental Sciences,MSc (Hons) Soil Science,4,-,37700,-,27200
Department of Soil and Environmental Sciences,PhD Soil Science,6,-,43700,-,27200
Department of Soil and Environmental Sciences,BSc (Hons) Agriculture (Soil Science),8,22950,31550,15950,23050
Department of Agricultural  Economics,BSc (Hons) Agriculture  (Agricultural Economics),8,22950,31550,15950,23050
Department of Agricultural  Economics,B.Sc. (Hons) Agriculture,8,22950,31550,15950,23050
