Description,NAME OF PROGRAMS
BBA Islamabad,BBA LHR/KHI,BS(A&F)/ BS (Eco),BCE,BEE,BSE,BS (CS),BS (IT),LLB,BS (Geo/Geophy/ES)/BS (Maritime),BSS,BS (Psy),BS (Media Studies),BS (Medical Lab Technology),Doctor of Physical Therapy (DPT ),BS (English),BS (Public Health),BS (SCM)
4.0 Years,4.0 Years,4.0 Years,4.0 Years,4.0 Years,4.0 Years,4.0 Years,4.0 Years,5.0 Years,4.0 Years,4.0 Years,4.0 Years,4.0 Years,4.0 Years,5.0 Years,4.0 Years,4.0 Years,4.0 Years
Credit Hours,18,18,18,18,16,16,18,18,17,16,17,14,17,18,18,17,17,18
Rate Per Credit Hours Tuition Fee,"6,000","5,250","5,250","5,250","5,515","5,250","4,800","4,200","5,000","3,860","4,200","4,800","4,410","4,000","6,120","3,675","6,000","4,800"

Tuition Fee Per Semester,"108,000","94,500","94,500","94,500","88,240","84,000","86,400","75,600","85,000","61,760","71,400","67,200","74,970","72,000","110,160","62,475","102,000","86,400"
Admission Fee (One Time),"21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","30,000","21,000","23,000","23,000"
Caution Money (Refundable),"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
Degree Fee (One Time) *,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"5,000",–,–,–
Misc. Charges **,"5,000","5,000","5,000","7,000","7,000","7,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","7,000","20,000","5,000","5,000","5,000"
Examination Fee,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"15,000",–,–,–
Registration Fee (One Time),–,–,–,–,–,–,–,–,–,–,–,–,–,–,"5,000",–,–,–
Total,"144,000","130,500","130,500","132,500","126,240","122,000","122,400","111,600","121,000","97,760","107,400","103,200","110,970","110,000","195,160","98,475","140,000","124,000"
