Description,NAME OF PROGRAMS,National Center for Maritime Policy & Research Karachi
MBA,MBA Weekend,MBA Pharma (WK),MBA Health Mgt.,MBA (L&MM),MBA Maritime,EMBA (L&PM),PGD (L&PM),Diploma (Shipping Mgt),Certificate Course
1.5 Years,2.0 Years,3.5 Year,1.5 years,2.0 years,2.5 Years,3.0 years,2.5 Years,2.5 Years,3.0 Years,1.5 Years,2.5 Years,3.0 years,2.0 Years,1.0 Years
Credit Hours,15,15,15,15,15,12,12,12,12,12,12,12,12,12,12,18,3
Rate Per Credit Hours Tuition Fee,"5,565","5,565","5,565","5,565","5,565","5,565","5,565","5,565","5,305","5,305","5,305","5,305","5,305","5,305","2,835","2,100","5,500"

Tuition Fee Per Semester,"83,475","83,475","83,475","83,475","83,475","66,780","66,780","66,780","63,660","63,660","63,660","63,660","63,660","63,660","34,020","37,800","16,500"
Admission Fee (One Time),"21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000","5,550","8,000","1,000"
Caution Money (Refundable),"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","5,550","5,000",–
Degree Fee (One Time) *,"10,000",–,–,"10,000",–,–,–,–,–,–,"10,000",–,–,–,"5,000",–,–
Misc. Charges **,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","3,350","3,000","3,000"

Total,"129,475","119,475","119,475","129,475","119,475","102,780","102,780","102,780","99,660","99,660","109,660","99,660","99,660","99,660","53,470","53,800","20,500"
